,name,rating,date,heading,review,rating_num,date_dt,heading_len,review_len,heading_clean,review_clean
71,Eshwar K.,1.0 star rating,12/20/2021,don’t like the new taste,i really liked it before you changed the taste and packaging. new one does not dissolve in water like the old one.,1,12/20/2021,5,22,"['like', 'new', 'taste']","['really', 'liked', 'changed', 'taste', 'packaging', 'new', 'one', 'dissolve', 'water', 'like', 'old', 'one']"
73,Traci T.,5.0 star rating,12/20/2021,absolutely recognized the difference once,absolutely recognized the difference once i began ag. one obvious change is the energy i experience...one cup of coffee is more than enough following the ag...,5,12/20/2021,5,26,"['absolutely', 'recognized', 'difference']","['absolutely', 'recognized', 'difference', 'began', 'ag', 'one', 'obvious', 'change', 'energy', 'experienceone', 'cup', 'coffee', 'enough', 'following', 'ag']"
74,Troy T.,4.0 star rating,12/20/2021,athletic greens,great tasting drink.,4,12/20/2021,2,3,[],"['great', 'tasting', 'drink']"
75,Britainy B.,5.0 star rating,12/19/2021,love this stuff,i love this stuff. it gives me energy and my skin is sooo soft,5,12/19/2021,3,14,"['love', 'stuff']","['love', 'stuff', 'give', 'energy', 'skin', 'sooo', 'soft']"
76,Elizabeth B.,5.0 star rating,12/18/2021,energy booster,i love waking up and knowing i’m nourishing my body first thing in the morning. i feel even more energised and great thanks to this product.,5,12/18/2021,2,26,"['energy', 'booster']","['love', 'waking', 'knowing', 'im', 'nourishing', 'body', 'first', 'thing', 'morning', 'feel', 'even', 'energised', 'great', 'thanks', 'product']"
77,Breianna R.,5.0 star rating,12/18/2021,absolutely the best and easiest,absolutely the best and easiest way to get your daily vitamins and the consistency has changed my way of eating and living. thank youu for making it so easy,5,12/18/2021,5,29,"['absolutely', 'best', 'easiest']","['absolutely', 'best', 'easiest', 'way', 'get', 'daily', 'vitamin', 'consistency', 'changed', 'way', 'eating', 'living', 'thank', 'youu', 'making', 'easy']"
78,Alexis D.,5.0 star rating,12/18/2021,awesome stufff!,awesome stufff!,5,12/18/2021,2,2,"['awesome', 'stufff']","['awesome', 'stufff']"
79,Lisa W.,4.0 star rating,12/18/2021,don't really notice a difference,"i like the taste and getting my vitamins this way, but i don't really notice a difference from taking this product.",4,12/18/2021,5,21,"['really', 'notice', 'difference']","['like', 'taste', 'getting', 'vitamin', 'way', 'really', 'notice', 'difference', 'taking', 'product']"
80,Eva M.,5.0 star rating,12/18/2021,great drink for vitality and energy!,i drink ag every day and i feel full of energy.,5,12/18/2021,6,11,"['great', 'drink', 'vitality', 'energy']","['drink', 'ag', 'every', 'day', 'feel', 'full', 'energy']"
81,Leticia C.,5.0 star rating,12/18/2021,i love the energy i,i love the energy i get since i’ve started!,5,12/18/2021,5,9,"['love', 'energy']","['love', 'energy', 'get', 'since', 'ive', 'started']"
